Type,Gender,Discipline,Classification,Threshold
field,m,high_jump,LM,2.25
field,m,high_jump,SM,2.15
field,m,high_jump,SMK,2.02
field,m,high_jump,I,1.9
field,m,high_jump,II,1.75
field,m,high_jump,III,1.65
field,m,high_jump,"I j.",1.55
field,m,high_jump,"II j.",1.45
field,m,high_jump,"III j.",1.3
field,m,pole_vault,LM,5.5
field,m,pole_vault,SM,5
field,m,pole_vault,SMK,4.5
field,m,pole_vault,I,4.1
field,m,pole_vault,II,3.5
field,m,pole_vault,III,3
field,m,pole_vault,"I j.",2.6
field,m,pole_vault,"II j.",2
field,m,pole_vault,"III j.",1.8
field,m,long_jump,LM,8
field,m,long_jump,SM,7.6
field,m,long_jump,SMK,7.1
field,m,long_jump,I,6.6
field,m,long_jump,II,6.1
field,m,long_jump,III,5.55
field,m,long_jump,"I j.",5
field,m,long_jump,"II j.",4.6
field,m,long_jump,"III j.",4
field,m,triple_jump,LM,16.85
field,m,triple_jump,SM,16.2
field,m,triple_jump,SMK,15.3
field,m,triple_jump,I,14.2
field,m,triple_jump,II,13.2
field,m,triple_jump,III,12
field,m,triple_jump,"I j.",11.5
field,m,triple_jump,"II j.",10.5
field,m,triple_jump,"III j.",10
field,m,discus_throw_2,LM,61
field,m,discus_throw_2,SM,54.5
field,m,discus_throw_2,SMK,49
field,m,discus_throw_2,I,44
field,m,discus_throw_2,II,37
field,m,discus_throw_2,III,30
field,m,discus_throw_1.75,SMK,53
field,m,discus_throw_1.75,I,45.5
field,m,discus_throw_1.75,II,37.5
field,m,discus_throw_1.75,III,32
field,m,discus_throw_1.75,"I j.",28
field,m,discus_throw_1.5,SMK,58
field,m,discus_throw_1.5,I,52
field,m,discus_throw_1.5,II,43
field,m,discus_throw_1.5,III,37
field,m,discus_throw_1.5,"I j.",30
field,m,discus_throw_1.5,"II j.",25
field,m,discus_throw_1,I,58
field,m,discus_throw_1,II,50
field,m,discus_throw_1,III,43
field,m,discus_throw_1,"I j.",35
field,m,discus_throw_1,"II j.",32
field,m,discus_throw_1,"III j.",28
field,m,hammer_throw_7.26,LM,74
field,m,hammer_throw_7.26,SM,67
field,m,hammer_throw_7.26,SMK,60
field,m,hammer_throw_7.26,I,54
field,m,hammer_throw_7.26,II,47
field,m,hammer_throw_7.26,III,38
field,m,hammer_throw_6,SM,72
field,m,hammer_throw_6,SMK,64
field,m,hammer_throw_6,I,59
field,m,hammer_throw_6,II,52
field,m,hammer_throw_6,III,43
field,m,hammer_throw_6,"I j.",36
