"Venue type",Gender,Discipline,"Result shift","Conversion factor","Point shift"
outdoor,m,100m,-17,24.63,0
outdoor,m,200m,-35.5,5.08,0
outdoor,m,300m,-57.2,1.83,0
outdoor,m,400m,-79,1.021,0
outdoor,m,600m,-131,0.367,0
outdoor,m,800m,-182,0.198,0
outdoor,m,1000m,-240,0.1074,0
outdoor,m,1500m,-385,0.04066,0
outdoor,m,1mile,-415,0.0351,0
outdoor,m,2000m,-528,0.02181,0
outdoor,m,3000m,-840,0.00815,0
outdoor,m,2miles,-904.8,0.00703,0
outdoor,m,5000m,-1440,0.002778,0
outdoor,m,10000m,-3150,0.000524,0
outdoor,m,110mh,-25.8,7.66,0
outdoor,m,400mh,-95.5,0.546,0
outdoor,m,2000mSt,-660,0.01023,0
outdoor,m,3000mSt,-1020,0.004316,0
outdoor,m,4x100m,-69.5,1.236,0
outdoor,m,4x200m,-144,0.29767,0
outdoor,m,4x400m,-334,0.05026,0
outdoor,m,10km,-3150,0.00052841,0
outdoor,m,15km,-4868,0.0002162,0
outdoor,m,10miles,-5250,0.0001852,0
outdoor,m,20km,-6629,0.0001147,0
outdoor,m,half_marathon,-7020,0.000102,0
outdoor,m,25km,-8536,6.765E-5,0
outdoor,m,30km,-10531,4.353E-5,0
outdoor,m,marathon,-15600,1.91E-5,0
outdoor,m,100km,-48600,1.765E-6,0
outdoor,m,3kmW,-1650,0.001209,0
outdoor,m,5kmW,-2760,0.000436,0
outdoor,m,10kmW,-5580,0.0001118,0
outdoor,m,20kmW,-11400,2.735E-5,0
outdoor,m,30kmW,-19110,8.93E-6,0
outdoor,m,35kmW,-23400,5.76E-6,0
outdoor,m,50kmW,-37200,2.124E-6,0
outdoor,m,high_jump,11.534,32.29,-5000
outdoor,m,pole_vault,39.39,3.042,-5000
outdoor,m,long_jump,48.41,1.929,-5000
outdoor,m,triple_jump,98.63,0.4611,-5000
outdoor,m,shot_put,687.7,0.042172,-20000
outdoor,m,discus_throw,2232.6,0.004007,-20000
outdoor,m,hammer_throw,2669.4,0.0028038,-20000
outdoor,m,javelin_throw,2886.8,0.0023974,-20000
outdoor,m,decathlon,71170,9.7749E-7,-5000
outdoor,f,100m,-22,9.92,0
outdoor,f,200m,-45.5,2.242,0
outdoor,f,300m,-77,0.7,0
outdoor,f,400m,-110,0.335,0
outdoor,f,600m,-184,0.1192,0
outdoor,f,800m,-250,0.0688,0
outdoor,f,1000m,-330,0.0382,0
outdoor,f,1500m,-540,0.0134,0
outdoor,f,1mile,-580,0.01165,0
outdoor,f,2000m,-750,0.006766,0
outdoor,f,3000m,-1200,0.002539,0
outdoor,f,2miles,-1296.3,0.002157,0
outdoor,f,5000m,-2100,0.000808,0
outdoor,f,10000m,-4500,0.0001712,0
outdoor,f,100mh,-30,3.98,0
outdoor,f,400mh,-130,0.208567,0
outdoor,f,2000mSt,-880,0.0045,0
outdoor,f,3000mSt,-1510,0.001323,0
outdoor,f,4x100m,-98,0.3895,0
outdoor,f,4x200m,-212,0.0795,0
outdoor,f,4x400m,-480,0.01562,0
outdoor,f,10km,-4500,0.0001742,0
outdoor,f,15km,-6905,7.32E-5,0
outdoor,f,10miles,-7438,6.3E-5,0
outdoor,f,20km,-9357,3.96E-5,0
outdoor,f,half_marathon,-9900,3.53E-5,0
outdoor,f,25km,-12144,2.28E-5,0
outdoor,f,30km,-15123,1.426E-5,0
outdoor,f,marathon,-22800,5.95E-6,0
outdoor,f,100km,-61200,8.74E-7,0
outdoor,f,3kmW,-1871,0.000881,0
outdoor,f,5kmW,-3140,0.0003246,0
outdoor,f,10kmW,-6437,7.79E-5,0
outdoor,f,20kmW,-13200,1.87E-5,0
outdoor,f,30kmW,-21545,6.9E-6,0
outdoor,f,50kmW,-39952,1.96E-6,0
outdoor,f,high_jump,10.574,39.34,-5000
outdoor,f,pole_vault,34.83,3.953,-5000
outdoor,f,long_jump,49.24,1.966,-5000
outdoor,f,triple_jump,105.53,0.4282,-5000
outdoor,f,shot_put,657.53,0.0462,-20000
outdoor,f,discus_throw,2227.3,0.0040277,-20000
outdoor,f,hammer_throw,2540,0.0030965,-20000
outdoor,f,javelin_throw,2214.9,0.004073,-20000
outdoor,f,heptathlon,55990,1.581E-6,-5000
indoor,m,50m,-9.2,95.8,0
indoor,m,55m,-10,78.9,0
indoor,m,60m,-10.7,68.6,0
indoor,m,200m,-36,5.04,0
indoor,m,300m,-58,1.803,0
indoor,m,400m,-80.6,0.981,0
indoor,m,500m,-106,0.565,0
indoor,m,600m,-131,0.39,0
indoor,m,800m,-184,0.1974,0
indoor,m,1000m,-240,0.1139,0
indoor,m,1500m,-386,0.042,0
indoor,m,1mile,-415,0.0369,0
indoor,m,2000m,-528,0.0226,0
indoor,m,3000m,-840,0.008322,0
indoor,m,2miles,-907,0.00721,0
indoor,m,5000m,-1440,0.0029,0
indoor,m,50mh,-12.35,34.2,0
indoor,m,55mh,-13.35,30.07,0
indoor,m,60mh,-14.6,23.9,0
indoor,m,4x200m,-144,0.312,0
indoor,m,4x400m,-340,0.0489,0
indoor,m,high_jump,11.534,32.29,-5000
indoor,m,pole_vault,39.39,3.042,-5000
indoor,m,long_jump,48.41,1.929,-5000
indoor,m,triple_jump,98.63,0.4611,-5000
indoor,m,shot_put,687.7,0.042172,-20000
indoor,m,heptathlon,53175,1.752E-6,-5000
indoor,f,50m,-12.1,33.03,0
indoor,f,55m,-13.15,27.68,0
indoor,f,60m,-14,24.9,0
indoor,f,200m,-47.5,1.962,0
indoor,f,300m,-79,0.6595,0
indoor,f,400m,-112,0.3224,0
indoor,f,500m,-150.5,0.1714,0
indoor,f,600m,-190.35,0.1063,0
indoor,f,800m,-264,0.0572,0
indoor,f,1000m,-340.4,0.03473,0
indoor,f,1500m,-540,0.01365,0
indoor,f,1mile,-585.5,0.01154,0
indoor,f,2000m,-752.2,0.00685,0
indoor,f,3000m,-1200,0.00259,0
indoor,f,2miles,-1296.3,0.002202,0
indoor,f,5000m,-2100,0.000825,0
indoor,f,50mh,-15.3,16.2,0
indoor,f,55mh,-16.8,13.19,0
indoor,f,60mh,-18.2,11.16,0
indoor,f,4x200m,-212,0.0826,0
indoor,f,4x400m,-484,0.0155,0
indoor,f,high_jump,10.574,39.34,-5000
indoor,f,pole_vault,34.83,3.953,-5000
indoor,f,long_jump,49.24,1.966,-5000
indoor,f,triple_jump,105.53,0.4282,-5000
indoor,f,shot_put,657.53,0.0462,-20000
indoor,f,pentathlon,41033,2.9445E-6,-5000
