Gender,"Age group",Discipline,"Result shift","Conversion factor",Exponent
m,u16,60m,-10.7,68.6,2
m,u16,1000m,-240,0.1139,2
m,u16,long_jump,2.2,90.567617226687,1.4
m,u16,ball_throw,7,10.14,1.08
m,u18,60m,-10.7,68.6,2
m,u18,1500m,-386,0.042,2
m,u18,long_jump,2.2,90.567617226687,1.4
m,u18,ball_throw,7,10.14,1.08
f,u16,800m,-264,0.0572,2
f,u16,long_jump,2.1,124.74354783797,1.41
f,u16,ball_throw,3.8,15.9803,1.04
f,u16,60m,-14,24.9,2
f,u18,1000m,-340.4,0.03473,2
f,u18,long_jump,2.1,124.74354783797,1.41
f,u18,ball_throw,3.8,15.9803,1.04
f,u18,60m,-14,24.9,2
